title,authors,pdf_link,code_url,conference_name
Stable Prediction across Unknown Environments,Kun Kuang ; Peng Cui ; Susan Athey ; Ruoxuan Xiong ; Bo Li,,,KDD 2018
Feedback-Guided Anomaly Discovery via Online Optimization,Md Amran Siddiqui ; Alan Fern ; Thomas Dietterich ; Ryan Wright ; Alec Theriault ; David Archer,,,KDD 2018
Active Feature Acquisition with Supervised Matrix Completion,Sheng-Jun Huang ; Miao Xu ; Ming-Kun Xie ; Masashi Sugiyama ; Gang Niu ; Songcan Chen,,,KDD 2018
Node Similarity with q-Grams for Real-World Labeled Networks,Roberto Grossi ; Alessio Conte ; Gaspare Ferraro ; Andrea Marino ; Kunihiko Sadakane ; Takeaki Uno,,,KDD 2018
Multi-Pointer Co-Attention Networks for Recommendation,Yi Tay ; Anh Tuan Luu ; Siu Cheung Hui,,,KDD 2018
Scalable Spectral Clustering Using Random Binning Features,Lingfei Wu ; Pin-Yu Chen ; Ian En-Hsu Yen ; Fangli Xu ; Yinglong Xia ; Charu Aggarwal,,,KDD 2018
Model-based Clustering of Short Text Streams,Jianhua Yin ; Daren Chao ; Zhongkun Liu ; Wei Zhang ; Xiaohui Yu ; Jianyong Wang,,,KDD 2018
A Treatment Engine by Predicting Next-Period Prescriptions,Bo Jin ; Haoyu Yang ; Leilei Sun ; Chuanren Liu ; Yue Qu ; Jianing Tong,,,KDD 2018
IntelliLight: a Reinforcement Learning Approach for Intelligent Traffic Light Control,Hua Wei ; Guanjie Zheng ; Huaxiu Yao ; Zhenhui Li,,,KDD 2018
Towards Explanation of DNN-based Prediction with Guided Feature Inversion,Mengnan Du ; Ninghao Liu ; Qingquan Song ; Xia Hu,,,KDD 2018
Sequences of Sets,Austin Benson ; Ravi Kumar ; Andrew Tomkins,,,KDD 2018
Multi-Round Influence Maximization,Lichao Sun ; Weiran Huang ; Philip Yu ; Wei Chen,,,KDD 2018
Generalized Score Functions for Causal Discovery,Biwei Huang ; Kun Zhang ; Yizhu Lin ; Bernhard Scho?lkopf ; Clark Glymour,,,KDD 2018
XiaoIce Band: A Melody and Arrangement Generation Framework for Pop Music,Hongyuan Zhu ; Qi Liu ; Nicholas Jing Yuan ; Chuan Qin ; Jiawei Li ; Kun Zhang ; Guang Zhou ; Furu Wei ; Yuanchun Xu ; Enhong Chen,,,KDD 2018
Deep r-th Root Rank Supervised Joint Binary Embedding for Multivariate Time Series Retrieval,Dongjin Song ; Ning Xia ; Wei Cheng ; Haifeng Chen ; Dacheng Tao,,,KDD 2018
FAHES: A Robust Disguised Missing Values Detector,Mourad Ouzzani ; Nan Tang ; Ahmed Elmagarmid ; Raul Castro Fernandez ; Abdulhakim A. Qahtan,,,KDD 2018
Dynamic Bike Reposition: A Spatio-Temporal Reinforcement Learning Approach,Yexin Li ; Yu Zheng ; Qiang Yang,,,KDD 2018
Multi-User Mobile Sequential Recommendation: An Efficient Parallel Computing Paradigm,Zeyang Ye ; Lihao Zhang ; Keli Xiao ; Wenjun Zhou ; Yong Ge ; Yuefan Deng,,,KDD 2018
Local Latent Space Models for Top-N Recommendation,Evangelia Christakopoulou ; George Karypis,,,KDD 2018
Investor-Imitator: A Framework for Trading Knowledge Extraction,Yi Ding ; Weiqing Liu ; Jiang Bian ; Daoqiang Zhang ; Tie-Yan Liu,,,KDD 2018
Discrete Ranking-based Matrix Factorization with Self-Paced Learning,Yan Zhang ; Haoyu Wang ; Defu Lian ; Ivor W. Tsang ; Hongzhi Yin ; Guowu Yang,,,KDD 2018
LARC: Learning Activity-Regularized overlapping Communities across Time,Alexander Gorovits ; Ekta Gujral ; Evangelos Papalexakis ; Petko Bogdanov,,,KDD 2018
EvoGraph: An Effective and Efficient Graph Upscaling Method for Preserving Graph Properties,Himchan Park ; Min-Soo Kim,,,KDD 2018
Training Big Random Forests with Little Resources,Fabian Gieseke ; Christian Igel,,,KDD 2018
Large-Scale Learnable Graph Convolutional Networks,Hongyang Gao ; Zhengyang Wang ; Shuiwang Ji,,,KDD 2018
Online Adaptive Asymmetric Active Learning for Budgeted Imbalanced Data,Yifan Zhang ; Peilin Zhao ; Jiezhang Cao ; Wenye Ma ; Junzhou Huang ; Qingyao Wu ; Mingkui Tan,,,KDD 2018
Multi-Label Inference for Crowdsourcing,Jing Zhang ; Xindong Wu,,,KDD 2018
Deep Adversarial Learning for Multi-Modality Missing Data Completion,Lei Cai ; Zhengyang Wang ; Hongyang Gao ; Dinggang Shen ; Shuiwang Ji,,,KDD 2018
SPARC: Self-Paced Network Representation for Few-Shot Rare Category Characterization,Dawei Zhou ; Jingrui He ; Hongxia Yang ; Wei Fan,,,KDD 2018
Towards Evolutionary Compression,Yunhe Wang ; Chang Xu ; Jiayan Qiu ; Chao Xu ; Dacheng Tao,,,KDD 2018
Accurate and Fast Asymmetric Locality-Sensitive Hashing Scheme for Maximum Inner Product Search,Qiang Huang ; Guihong Ma ; Jianlin Feng ; Qiong Fang ; Anthony K. H. Tung,,,KDD 2018
Parsing to Programs: A Framework for Situated QA,Mrinmaya Sachan ; Eric P. Xing,,,KDD 2018
Dual Memory Neural Computer for Asynchronous Two-view Sequential Learning,Hung Le ; Truyen Tran ; Svetha Venkatesh,,,KDD 2018
Automated Local Regression Discontinuity Design Discovery,William Herlands ; Edward McFowland Iii ; Andrew Wilson ; Daniel Neill,,,KDD 2018
PME: Projected Metric Embedding on Heterogeneous Networks for Link Prediction,Hongxu Chen ; Hongzhi Yin ; Weiqing Wang ; Hao Wang ; Quoc Viet Hung Nguyen ; Xue Li,,,KDD 2018
Content to Node: Self-translation Network Embedding,Jie Liu ; Zhicheng He ; Lai Wei ; Yalou Huang,,,KDD 2018
Isolation Kernel and Its Effect on SVM,Kai Ming Ting ; Yue Zhu ; Zhi-Hua Zhou,,,KDD 2018
Variable Selection and Task Grouping for Multi-Task Learning,Junyong Jeong ; Chi-Hyuck Jun,,,KDD 2018
Are your data gathered?,Alban Siffer ; Pierre-Alain Fouque ; Alexandre Termier ; Christine Largou,,,KDD 2018
Quantifying Uncertainty in Discrete-Continuous and Skewed Data with Bayesian Deep Learning,Thomas Vandal ; Evan Kodra ; Jennifer Dy ; Sangram Ganguly ; Ramakrishna Nemani ; Auroop Ganguly,,,KDD 2018
Efficient Mining of the Most Significant Patterns with Permutation Testing,Leonardo Pellegrina ; Fabio Vandin,,,KDD 2018
On Interpretation of Network Embedding via Taxonomy Induction,Ninghao Liu ; Xiao Huang ; Jundong Li ; Xia Hu,,,KDD 2018
Neural Memory Streaming Recommender Networks with Adversarial Training,Qinyong Wang ; Hongzhi Yin ; Zhiting Hu ; Defu Lian ; Hao Wang ; Zi Huang,,,KDD 2018
Extremely Fast Decision Tree,Chaitanya Manapragada ; Geoffrey Webb ; Mahsa Salehi,,,KDD 2018
Easing Embedding Learning by Comprehensive Transcription of Heterogeneous Information Networks,Yu Shi ; Qi Zhu ; Fang Guo ; Chao Zhang ; Jiawei Han,,,KDD 2018
On the Generative Discovery of Structured Medical Knowledge,Chenwei Zhang ; Yaliang Li ; Nan Du ; Wei Fan ; Philip S. Yu,,,KDD 2018
Accelerated Equivalence Structure Extraction via Pairwise Incremental Search,Seiya Satoh ; Yoshinobu Takahashi ; Hiroshi Yamakawa,,,KDD 2018
Unlocking the Value of Privacy: Trading Aggregate Statistics over Private Correlated Data,Chaoyue Niu ; Zhenzhe Zheng ; Fan Wu ; Shaojie Tang ; Xiaofeng Gao ; Guihai Chen,,,KDD 2018
Learning from History and Present: Next-item Recommendation via Discriminatively Exploiting User Beh,Zhi Li ; Hongke Zhao ; Qi Liu ; Zhenya Huang ; Tao Mei ; Enhong Chen,,,KDD 2018
Robust Bayesian Kernel Machine via Stein Variational Gradient Descent for Big Data,Khanh Nguyen ; Trung Le ; Tu Dinh Nguyen ; Dinh Phung ; Geo?rey Webb,,,KDD 2018
Recurrent Binary Embedding for GPU-Enabled Exhaustive Retrieval from Billion-Scale Semantic Vectors,Ying Shan ; Jian Jiao ; Jie Zhu ; Jc Mao,,,KDD 2018
DILOF: Effective and Memory Efficient Local Outlier Detection in Data Streams,"Gyoung S. Na ); Donghyun Kim ,); Hwanjo Yu ,)",,,KDD 2018
Learning Structural Node Embeddings via Diffusion Wavelets,Claire Donnat ; Marinka Zitnik ; David Hallac ; Jure Leskovec,,,KDD 2018
Transfer Learning via Feature Isomorphism Discovery,Shimin Di ; Jingshu Peng ; Yanyan Shen ; Lei Chen,,,KDD 2018
Demand-Aware Charger Planning for Electric Vehicle Sharing,Bowen Du ; Yongxin Tong ; Zimu Zhou ; Qian Tao ; Wenjun Zhou,,,KDD 2018
Multi-task Representation Learning for Travel Time Estimation,Yaguang Li ; Kun Fu ; Zheng Wang ; Cyrus Shahabi ; Jieping Ye ; Yan Liu,,,KDD 2018
Safe Triplet Screening for Distance Metric Learning,Tomoki Yoshida ; Ichiro Takeuchi ; Masayuki Karasuyama,,,KDD 2018
Self-Paced Network Embedding,Hongchang Gao ; Heng Huang,,,KDD 2018
Sketched Follow-The-Regularized-Leader for Online Factorization Machine,Luo Luo ; Wenpeng Zhang ; Zhihua Zhang ; Wenwu Zhu ; Tong Zhang ; Jian Pei,,,KDD 2018
Coupled Context Modeling for Deep Chit-Chat: Towards Conversations between Human and Computer,Rui Yan ; Dongyan Zhao,,,KDD 2018
Learning-to-Ask: Knowledge Acquisition via 20 Questions,Yihong Chen ; Bei Chen ; Xuguang Duan ; Jian-Guang Lou ; Yue Wang ; Wenwu Zhu ; Yong Cao,,,KDD 2018
Multi-Cast Attention Networks,Yi Tay ; Anh Tuan Luu ; Siu Cheung Hui,,,KDD 2018
Context-aware Academic Collaborator Recommendation,Zheng Liu ; Xing Xie ; Lei Chen,,,KDD 2018
RAIM: Recurrent Attentive and Intensive Modeling of Multimodal Continuous Patient Monitoring Data,Yanbo Xu ; Siddharth Biswal ; Shriprasad Deshpande ; Kevin Maher ; Jimeng Sun,,,KDD 2018
Route Recommendations for Idle Taxi Drivers: Find Me the Shortest Route to a Customer!,Nandani Garg ; Sayan Ranu,,,KDD 2018
Hyperparameter Importance Across Datasets,Jan N. van Rijn ; Frank Hutter,,,KDD 2018
Classifying and Counting with Recurrent Contexts,Denis Dos Reis (University of S,,,KDD 2018
Multilevel Wavelet Decomposition Network for Interpretable Time Series Analysis,Jingyuan Wang ; Ze Wang ; Jianfeng Li ; Junjie Wu,,,KDD 2018
Active Opinion Maximization in Social Networks,Xinyue Liu ; Xiangnan Kong ; Philip Yu,,,KDD 2018
Identifying Sources and Sinks in the Presence of Multiple Agents with Gaussian Process Vector Calcul,Adam Derek Cobb ; Richard Everett ; Andrew Markham ; Stephen Roberts,,,KDD 2018
Deep Censored Learning of the Winning Price in the Real Time Bidding,Wush Chi-Hsuan Wu ; Mi-Yen Yeh ; Ming-Syan Chen,,,KDD 2018
Optimizing cluster-based randomized experiments under monotonicity,Jean Pouget-Abadie ; David Parkes ; Vahab Mirrokni ; Edoardo M. Airoldi,,,KDD 2018
Learning Credible Models,Jiaxuan Wang ; Jeeheh Oh ; Haozhu Wang ; Jenna Wiens,,,KDD 2018
Explanation Mining: Post Hoc Interpretability of Latent Factor Models for Recommendation Systems,Georgina Peake ; Jun Wang,,,KDD 2018
Quantifying and minimizing risk of conflict in social networks,Xi Chen ; Jefrey Lijffijt ; Tijl De Bie,,,KDD 2018
A Distributed Quasi-Newton Algorithm for Empirical Risk Minimization with Nonsmooth Regularization,Ching-Pei Lee ; Cong Han Lim ; Stephen Wright,,,KDD 2018
DeepInf: Social Influence Prediction with Deep Learning,Jiezhong Qiu ; Jian Tang ); Hao Ma ; Yuxiao Dong ; Kuansan Wang ; Jie Tang,,,KDD 2018
An Iterative Global Structure-Assisted Labeled Network Aligner,Abdurrahman Yaşar  and Umit V. Catalyurek,,,KDD 2018
Discovering Models from Structural and Behavioral Brain Imaging Data,Zilong Bai ; Buyue Qian ; Ian Davidson,,,KDD 2018
On Discrimination Discovery and Removal in Ranked Data using Causal Graph,Yongkai Wu ; Lu Zhang ; Xintao Wu,,,KDD 2018
Fairness of Exposure in Rankings,Ashudeep Singh ; Thorsten Joachims,,,KDD 2018
BagMinHash - Minwise Hashing Algorithm for Weighted Sets,Otmar Ertl,,,KDD 2018
Enhancing Predictive Modeling of Nested Spatial Data through Group-Level Feature Disaggregation,Boyang Liu ; Pang-Ning Tan ; Jiayu Zhou,,,KDD 2018
New Incremental Learning Algorithm for  Semi-Supervised  Support Vector Machine,Bin Gu ; Xiao-Tong Yuan ; Songcan Chen ; Heng Huang,,,KDD 2018
D2K: Scalable Community Detection in Massive Networks via Small-Diameter k-Plexes,Alessio Conte ; Tiziano De Matteis ; Daniele De Sensi ; Roberto Grossi ; Andrea Marino ; Luca Versari,,,KDD 2018
Butterfly Counting in Bipartite Networks,Seyed-Vahid Sanei-Mehri ; Ahmet Erdem Sariyuce ; Srikanta Tirthapura,,,KDD 2018
An Empirical Evaluation of Sketching for Numerical Linear Algebra,Yogesh Dahiya ; Dimitris Konomis ; David P. Woodruff,,,KDD 2018
Deep Multi-Output Forecasting: Learning to Accurately Predict Blood Glucose Trajectories,Ian Fox ; Lynn Ang ; Mamta Jaiswal ; Rodica Pop-Busui ; Jenna Wiens,,,KDD 2018
Active Search of Connections for Case Building and Combating Human Trafficking,Reihaneh Rabbany ; David Bayani ; Artur Dubrawski,,,KDD 2018
Not Just Privacy: Improving Performance of Private Deep Learning in Mobile Cloud,Ji Wang ; Jianguo Zhang ; Weidong Bao ; Xiaomin Zhu ; Bokai Cao ; Philip S. Yu,,,KDD 2018
xStream: Outlier Detection in Feature-Evolving Data Streams,Emaad Ahmed Manzoor ; Hemank Lamba ; Leman Akoglu,,,KDD 2018
